mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	1	1	3/16		1/8	3/2		3	69	0
1	1	3/16	3/16	3/4	1	1	1/16		1/16	1		2	74	1
1	1	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	2
1	1	3/8	3/8	3/4	1	1	1/8		1/8	1		7	73	3
1	1	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	4
1	1	5/8	5/8	3/4	1	1	1/8		1/8	1		4	76	5
2	2	0	0	3/4	1	1	3/16		1/8	3/2		4	76	6
2	2	3/16	3/16	3/4	1	1	1/16		1/16	1		-1	77	7
2	2	1/4	1/4	3/4	1	1	0	appoggiatura	1/8	1		3	81	8
2	2	1/4	1/4	3/4	1	1	1/16		1/16	1		1	79	9
2	2	5/16	5/16	3/4	1	1	1/16		1/16	1		-1	77	10
2	2	3/8	3/8	3/4	1	1	1/16		1/16	1		4	76	11
2	2	7/16	7/16	3/4	1	1	1/16		1/16	1		7	73	12
2	2	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74	13
3	3	0	0	3/4	1	1	3/16		1/8	3/2		3	69	14
3	3	3/16	3/16	3/4	1	1	1/16		1/16	1		2	74	15
3	3	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	16
3	3	3/8	3/8	3/4	1	1	1/8		1/8	1		7	73	17
3	3	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	18
3	3	5/8	5/8	3/4	1	1	1/8		1/8	1		4	76	19
4	4	0	0	3/4	1	1	1/16		1/16	1		4	76	20
4	4	1/16	1/16	3/4	1	1	1/16		1/16	1		-1	77	21
4	4	1/8	1/8	3/4	1	1	1/16		1/16	1		4	76	22
4	4	3/16	3/16	3/4	1	1	1/16		1/16	1		2	74	23
4	4	1/4	1/4	3/4	1	1	1/16		1/16	1		0	72	24
4	4	5/16	5/16	3/4	1	1	1/16		1/16	1		2	74	25
4	4	3/8	3/8	3/4	1	1	1/16		1/16	1		0	72	26
4	4	7/16	7/16	3/4	1	1	1/16		1/16	1		-2	70	27
4	4	1/2	1/2	3/4	1	1	1/16		1/16	1		3	69	28
4	4	9/16	9/16	3/4	1	1	1/16		1/16	1		-2	70	29
4	4	5/8	5/8	3/4	1	1	1/16		1/16	1		0	72	30
4	4	11/16	11/16	3/4	1	1	1/16		1/16	1		3	69	31
5	5	0	0	3/4	1	1	3/16		1/8	3/2		3	69	32
5	5	3/16	3/16	3/4	1	1	1/16		1/16	1		2	74	33
5	5	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	34
5	5	3/8	3/8	3/4	1	1	1/8		1/8	1		7	73	35
5	5	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	36
5	5	5/8	5/8	3/4	1	1	1/8		1/8	1		4	76	37
6	6	0	0	3/4	1	1	3/16		1/8	3/2		4	76	38
6	6	3/16	3/16	3/4	1	1	1/16		1/16	1		-1	77	39
6	6	1/4	1/4	3/4	1	1	0	appoggiatura	1/8	1		3	81	40
6	6	1/4	1/4	3/4	1	1	1/16		1/16	1		1	79	41
6	6	5/16	5/16	3/4	1	1	1/16		1/16	1		-1	77	42
6	6	3/8	3/8	3/4	1	1	1/16		1/16	1		4	76	43
6	6	7/16	7/16	3/4	1	1	1/16		1/16	1		7	73	44
6	6	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74	45
7	7	0	0	3/4	1	1	1/16		1/16	1		2	74	46
7	7	1/16	1/16	3/4	1	1	1/16		1/16	1		-1	77	47
7	7	1/8	1/8	3/4	1	1	1/16		1/16	1		3	81	48
7	7	3/16	3/16	3/4	1	1	1/16		1/16	1		-1	77	49
7	7	1/4	1/4	3/4	1	1	1/16		1/16	1		0	72	50
7	7	5/16	5/16	3/4	1	1	1/16		1/16	1		4	76	51
7	7	3/8	3/8	3/4	1	1	1/16		1/16	1		1	79	52
7	7	7/16	7/16	3/4	1	1	1/16		1/16	1		4	76	53
7	7	1/2	1/2	3/4	1	1	1/16		1/16	1		2	74	54
7	7	9/16	9/16	3/4	1	1	1/16		1/16	1		-1	77	55
7	7	5/8	5/8	3/4	1	1	1/16		1/16	1		3	81	56
7	7	11/16	11/16	3/4	1	1	1/16		1/16	1		-1	77	57
8	8	0	0	3/4	1	1	1/16		1/16	1		3	81	58
8	8	1/16	1/16	3/4	1	1	1/16		1/16	1		1	79	59
8	8	1/8	1/8	3/4	1	1	1/16		1/16	1		4	76	60
8	8	3/16	3/16	3/4	1	1	1/16		1/16	1		7	73	61
8	8	1/4	1/4	3/4	1	1	1/2		1/2	1		2	74	62
9	9	0	0	3/4	1	1	0	appoggiatura	1/8	1		4	76	63
9	9	0	0	3/4	1	1	1/16		1/16	1		2	74	64
9	9	1/16	1/16	3/4	1	1	1/16		1/16	1		4	76	65
9	9	1/8	1/8	3/4	1	1	1/16		1/16	1		-1	77	66
9	9	3/16	3/16	3/4	1	1	1/16		1/16	1		1	79	67
9	9	1/4	1/4	3/4	1	1	1/4		1/4	1		3	81	68
9	9	1/2	1/2	3/4	1	1	1/4		1/4	1		3	81	69
10	10	0	0	3/4	1	1	1/8		1/8	1		3	81	70
10	10	1/8	1/8	3/4	1	1	1/16		1/16	1		1	79	71
10	10	3/16	3/16	3/4	1	1	1/16		1/16	1		3	81	72
10	10	1/4	1/4	3/4	1	1	1/8		1/8	1		-2	82	73
10	10	3/8	3/8	3/4	1	1	1/16		1/16	1		3	81	74
10	10	7/16	7/16	3/4	1	1	1/16		1/16	1		1	79	75
10	10	1/2	1/2	3/4	1	1	1/4		1/4	1		3	81	76
11	11	0	0	3/4	1	1	3/16		1/8	3/2		4	76	77
11	11	3/16	3/16	3/4	1	1	1/16		1/16	1		-1	77	78
11	11	1/4	1/4	3/4	1	1	3/16		1/8	3/2		-1	77	79
11	11	7/16	7/16	3/4	1	1	1/16		1/16	1		1	79	80
11	11	1/2	1/2	3/4	1	1	3/16		1/8	3/2		1	79	81
11	11	11/16	11/16	3/4	1	1	1/16		1/16	1		3	81	82
12	12	0	0	3/4	1	1	1/16		1/16	1		3	81	83
12	12	1/16	1/16	3/4	1	1	1/16		1/16	1		-1	77	84
12	12	1/8	1/8	3/4	1	1	1/16		1/16	1		4	76	85
12	12	3/16	3/16	3/4	1	1	1/16		1/16	1		-1	77	86
12	12	1/4	1/4	3/4	1	1	1/2		1/2	1		2	74	87
13	13	0	0	3/4	1	1	3/16		1/8	3/2		3	69	88
13	13	3/16	3/16	3/4	1	1	1/16		1/16	1		2	74	89
13	13	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	90
13	13	3/8	3/8	3/4	1	1	1/8		1/8	1		7	73	91
13	13	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	92
13	13	5/8	5/8	3/4	1	1	1/8		1/8	1		4	76	93
14	14	0	0	3/4	1	1	3/16		1/8	3/2		4	76	94
14	14	3/16	3/16	3/4	1	1	1/16		1/16	1		-1	77	95
14	14	1/4	1/4	3/4	1	1	0	appoggiatura	1/8	1		3	81	96
14	14	1/4	1/4	3/4	1	1	1/16		1/16	1		1	79	97
14	14	5/16	5/16	3/4	1	1	1/16		1/16	1		-1	77	98
14	14	3/8	3/8	3/4	1	1	1/16		1/16	1		4	76	99
14	14	7/16	7/16	3/4	1	1	1/16		1/16	1		7	73	100
14	14	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74	101
15	15	0	0	3/4	1	1	1/16		1/16	1		2	74	102
15	15	1/16	1/16	3/4	1	1	1/16		1/16	1		-1	77	103
15	15	1/8	1/8	3/4	1	1	1/16		1/16	1		3	81	104
