mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	1	1	1/8	1/8	1.0		1	79	0
1	1	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	79	1
1	1	1/4	1/4	3/4	1	1	1/16	1/16	1.0		3	81	2
1	1	5/16	5/16	3/4	1	1	1/16	1/16	1.0		1	79	3
1	1	3/8	3/8	3/4	1	1	1/16	1/16	1.0		6	78	4
1	1	7/16	7/16	3/4	1	1	1/16	1/16	1.0		4	76	5
1	1	1/2	1/2	3/4	1	1	1/4	1/4	1.0		2	74	6
2	2	0	0	3/4	1	1	1/16	1/16	1.0		2	74	7
2	2	1/16	1/16	3/4	1	1	1/16	1/16	1.0		0	72	8
2	2	1/8	1/8	3/4	1	1	1/16	1/16	1.0		5	71	9
2	2	3/16	3/16	3/4	1	1	1/16	1/16	1.0		3	69	10
2	2	1/4	1/4	3/4	1	1	1/8	1/8	1.0		5	71	11
2	2	3/8	3/8	3/4	1	1	1/16	1/16	1.0		5	71	12
2	2	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	69	13
2	2	1/2	1/2	3/4	1	1	1/8	1/8	1.0		5	71	14
2	2	5/8	5/8	3/4	1	1	1/8	1/8	1.0		1	67	15
3	3	0	0	3/4	1	1	1/4	1/4	1.0		5	71	16
3	3	1/4	1/4	3/4	1	1	1/8	1/8	1.0		3	69	17
3	3	3/8	3/8	3/4	1	1	1/16	1/16	1.0		0	72	18
3	3	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	69	19
3	3	1/2	1/2	3/4	1	1	1/8	1/8	1.0		5	71	20
3	3	5/8	5/8	3/4	1	1	1/8	1/8	1.0		1	67	21
4	4	0	0	3/4	1	1	1/8	1/8	1.0		5	59	22
4	4	1/8	1/8	3/4	1	1	1/8	1/8	1.0		5	59	23
4	4	1/4	1/4	3/4	1	1	1/16	1/16	1.0		3	57	24
4	4	5/16	5/16	3/4	1	1	1/16	1/16	1.0		5	59	25
4	4	3/8	3/8	3/4	1	1	1/16	1/16	1.0		0	60	26
4	4	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	57	27
4	4	1/2	1/2	3/4	1	1	1/8	1/8	1.0		5	59	28
4	4	5/8	5/8	3/4	1	1	1/8	1/8	1.0		1	55	29
5	5	0	0	3/4	1	1	1/4	1/4	1.0		5	71	30
5	5	1/4	1/4	3/4	1	1	1/8	1/8	1.0		3	69	31
5	5	3/8	3/8	3/4	1	1	1/16	1/16	1.0		0	72	32
5	5	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	69	33
5	5	1/2	1/2	3/4	1	1	1/8	1/8	1.0		5	71	34
5	5	5/8	5/8	3/4	1	1	1/8	1/8	1.0		1	67	35
6	6	0	0	3/4	1	1	1/8	1/8	1.0		5	59	36
6	6	1/8	1/8	3/4	1	1	1/8	1/8	1.0		5	59	37
6	6	1/4	1/4	3/4	1	1	1/16	1/16	1.0		3	57	38
6	6	5/16	5/16	3/4	1	1	1/16	1/16	1.0		5	59	39
6	6	3/8	3/8	3/4	1	1	1/16	1/16	1.0		0	60	40
6	6	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	57	41
6	6	1/2	1/2	3/4	1	1	1/8	1/8	1.0		5	59	42
6	6	5/8	5/8	3/4	1	1	1/8	1/8	1.0		1	55	43
7	7	0	0	3/4	1	1	1/16	1/16	1.0		2	62	44
7	7	1/16	1/16	3/4	1	1	1/16	1/16	1.0		4	64	45
7	7	1/8	1/8	3/4	1	1	1/16	1/16	1.0		6	66	46
7	7	3/16	3/16	3/4	1	1	1/16	1/16	1.0		1	67	47
7	7	1/4	1/4	3/4	1	1	1/16	1/16	1.0		3	69	48
7	7	5/16	5/16	3/4	1	1	1/16	1/16	1.0		5	71	49
7	7	3/8	3/8	3/4	1	1	1/16	1/16	1.0		0	72	50
7	7	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	69	51
7	7	1/2	1/2	3/4	1	1	1/16	1/16	1.0		5	71	52
7	7	9/16	9/16	3/4	1	1	1/16	1/16	1.0		2	74	53
7	7	5/8	5/8	3/4	1	1	1/16	1/16	1.0		5	71	54
7	7	11/16	11/16	3/4	1	1	1/16	1/16	1.0		1	67	55
8	8	0	0	3/4	1	1	1/16	1/16	1.0		3	69	56
8	8	1/16	1/16	3/4	1	1	1/16	1/16	1.0		0	72	57
8	8	1/8	1/8	3/4	1	1	1/16	1/16	1.0		3	69	58
8	8	3/16	3/16	3/4	1	1	1/16	1/16	1.0		6	66	59
8	8	1/4	1/4	3/4	1	1	1/4	1/4	1.0		1	67	60
8	8	1/2	1/2	3/4	1	1	1/4	1/4	1.0		1	55	61
9	9	0	0	3/4	1	1	1/8	1/8	1.0		1	79	62
9	9	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	79	63
9	9	1/4	1/4	3/4	1	1	1/16	1/16	1.0		3	81	64
9	9	5/16	5/16	3/4	1	1	1/16	1/16	1.0		1	79	65
9	9	3/8	3/8	3/4	1	1	1/16	1/16	1.0		6	78	66
9	9	7/16	7/16	3/4	1	1	1/16	1/16	1.0		1	79	67
9	9	1/2	1/2	3/4	1	1	1/16	1/16	1.0		3	81	68
9	9	9/16	9/16	3/4	1	1	1/16	1/16	1.0		1	79	69
9	9	5/8	5/8	3/4	1	1	1/16	1/16	1.0		6	78	70
9	9	11/16	11/16	3/4	1	1	1/16	1/16	1.0		4	76	71
10	10	0	0	3/4	1	1	1/8	1/8	1.0		2	74	72
10	10	1/8	1/8	3/4	1	1	1/8	1/8	1.0		-1	77	73
10	10	1/4	1/4	3/4	1	1	1/8	1/8	1.0		-1	77	74
10	10	3/8	3/8	3/4	1	1	1/16	1/16	1.0		4	76	75
10	10	7/16	7/16	3/4	1	1	1/16	1/16	1.0		-1	77	76
10	10	1/2	1/2	3/4	1	1	1/16	1/16	1.0		1	79	77
10	10	9/16	9/16	3/4	1	1	1/16	1/16	1.0		-1	77	78
10	10	5/8	5/8	3/4	1	1	1/16	1/16	1.0		4	76	79
10	10	11/16	11/16	3/4	1	1	1/16	1/16	1.0		2	74	80
11	11	0	0	3/4	1	1	1/8	1/8	1.0		0	72	81
11	11	1/8	1/8	3/4	1	1	1/8	1/8	1.0		4	76	82
11	11	1/4	1/4	3/4	1	1	1/8	1/8	1.0		4	76	83
11	11	3/8	3/8	3/4	1	1	1/16	1/16	1.0		2	74	84
11	11	7/16	7/16	3/4	1	1	1/16	1/16	1.0		4	76	85
11	11	1/2	1/2	3/4	1	1	1/8	1/8	1.0		-1	77	86
11	11	5/8	5/8	3/4	1	1	1/16	1/16	1.0		2	74	87
11	11	11/16	11/16	3/4	1	1	1/16	1/16	1.0		-1	77	88
12	12	0	0	3/4	1	1	1/4	1/4	1.0		0	72	89
12	12	1/4	1/4	3/4	1	1	1/16	1/16	1.0		2	74	90
12	12	5/16	5/16	3/4	1	1	1/16	1/16	1.0		0	72	91
12	12	3/8	3/8	3/4	1	1	1/16	1/16	1.0		5	71	92
12	12	7/16	7/16	3/4	1	1	1/16	1/16	1.0		0	72	93
12	12	1/2	1/2	3/4	1	1	1/16	1/16	1.0		1	67	94
12	12	9/16	9/16	3/4	1	1	1/16	1/16	1.0		4	76	95
12	12	5/8	5/8	3/4	1	1	1/16	1/16	1.0		0	72	96
12	12	11/16	11/16	3/4	1	1	1/16	1/16	1.0		1	67	97
13	13	0	0	3/4	1	1	1/4	1/4	1.0		0	72	98
13	13	1/4	1/4	3/4	1	1	1/16	1/16	1.0		2	74	99
13	13	5/16	5/16	3/4	1	1	1/16	1/16	1.0		0	72	100
13	13	3/8	3/8	3/4	1	1	1/16	1/16	1.0		5	71	101
13	13	7/16	7/16	3/4	1	1	1/16	1/16	1.0		0	72	102
13	13	1/2	1/2	3/4	1	1	1/16	1/16	1.0		1	67	103
13	13	9/16	9/16	3/4	1	1	1/16	1/16	1.0		4	76	104
13	13	5/8	5/8	3/4	1	1	1/16	1/16	1.0		0	72	105
13	13	11/16	11/16	3/4	1	1	1/16	1/16	1.0		1	67	106
14	14	0	0	3/4	1	1	1/8	1/8	1.0		1	79	107
