mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	1	1	3/16		1/8	3/2		2	62	0
1	1	3/16	3/16	3/4	1	1	1/16		1/16	1		4	64	1
1	1	1/4	1/4	3/4	1	1	1/16		1/16	1		-1	65	2
1	1	5/16	5/16	3/4	1	1	1/16		1/16	1		4	64	3
1	1	3/8	3/8	3/4	1	1	1/16		1/16	1		2	62	4
1	1	7/16	7/16	3/4	1	1	1/16		1/16	1		7	61	5
1	1	1/2	1/2	3/4	1	1	1/16		1/16	1		2	62	6
1	1	9/16	9/16	3/4	1	1	1/16		1/16	1		4	64	7
1	1	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	65	8
1	1	11/16	11/16	3/4	1	1	1/16		1/16	1		1	67	9
2	2	0	0	3/4	1	1	1/8		1/8	1		3	69	10
2	2	1/8	1/8	3/4	1	1	1/16		1/16	1		-2	70	11
2	2	3/16	3/16	3/4	1	1	1/16		1/16	1		3	69	12
2	2	1/4	1/4	3/4	1	1	1/8		1/8	1		1	67	13
2	2	3/8	3/8	3/4	1	1	1/16		1/16	1		-1	65	14
2	2	7/16	7/16	3/4	1	1	1/16		1/16	1		1	67	15
2	2	1/2	1/2	3/4	1	1	1/4		1/4	1		3	69	16
3	3	0	0	3/4	1	1	0	grace32	1/32	1		1	67	17
3	3	0	0	3/4	1	1	1/8		1/8	1		-1	65	18
3	3	1/8	1/8	3/4	1	1	1/16		1/16	1		-1	65	19
3	3	3/16	3/16	3/4	1	1	1/16		1/16	1		4	64	20
3	3	1/4	1/4	3/4	1	1	1/8		1/8	1		2	62	21
3	3	3/8	3/8	3/4	1	1	1/16		1/16	1		-1	65	22
3	3	7/16	7/16	3/4	1	1	1/16		1/16	1		4	64	23
3	3	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	65	24
3	3	5/8	5/8	3/4	1	1	1/16		1/16	1		3	69	25
3	3	11/16	11/16	3/4	1	1	1/16		1/16	1		1	67	26
4	4	0	0	3/4	1	1	1/16		1/16	1		3	69	27
4	4	1/16	1/16	3/4	1	1	1/16		1/16	1		3	81	28
4	4	1/8	1/8	3/4	1	1	1/16		1/16	1		8	80	29
4	4	3/16	3/16	3/4	1	1	1/16		1/16	1		3	81	30
4	4	1/4	1/4	3/4	1	1	1/16		1/16	1		4	76	31
4	4	5/16	5/16	3/4	1	1	1/16		1/16	1		-1	77	32
4	4	3/8	3/8	3/4	1	1	1/16		1/16	1		7	73	33
4	4	7/16	7/16	3/4	1	1	1/16		1/16	1		4	76	34
4	4	1/2	1/2	3/4	1	1	1/16		1/16	1		3	69	35
4	4	9/16	9/16	3/4	1	1	1/16		1/16	1		1	67	36
4	4	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	65	37
4	4	11/16	11/16	3/4	1	1	1/16		1/16	1		4	64	38
5	5	0	0	3/4	1	1	1/8		1/8	1		2	62	39
5	5	0	0	3/4	1	2	1/8		1/8	1		2	62	47
5	5	1/8	1/8	3/4	1	1	1/8		1/8	1		2	62	40
5	5	1/8	1/8	3/4	1	2	1/8		1/8	1		2	62	48
5	5	1/4	1/4	3/4	1	1	3/16		1/8	3/2		-1	65	41
5	5	7/16	7/16	3/4	1	1	1/16		1/16	1		4	64	42
5	5	1/2	1/2	3/4	1	1	1/16		1/16	1		2	62	43
5	5	9/16	9/16	3/4	1	1	1/16		1/16	1		4	64	44
5	5	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	65	45
5	5	11/16	11/16	3/4	1	1	1/16		1/16	1		1	67	46
6	6	0	0	3/4	1	1	1/8		1/8	1		3	69	49
6	6	1/8	1/8	3/4	1	1	1/16		1/16	1		-2	70	50
6	6	3/16	3/16	3/4	1	1	1/16		1/16	1		3	69	51
6	6	1/4	1/4	3/4	1	1	1/8		1/8	1		1	67	52
6	6	3/8	3/8	3/4	1	1	1/16		1/16	1		-1	65	53
6	6	7/16	7/16	3/4	1	1	1/16		1/16	1		1	67	54
6	6	1/2	1/2	3/4	1	1	1/8		1/8	1		3	69	55
6	6	5/8	5/8	3/4	1	1	1/16		1/16	1		-1	65	56
6	6	11/16	11/16	3/4	1	1	1/16		1/16	1		4	64	57
7	7	0	0	3/4	1	1	1/8		1/8	1		2	62	58
7	7	1/8	1/8	3/4	1	1	1/16		1/16	1		2	74	59
7	7	3/16	3/16	3/4	1	1	1/16		1/16	1		7	73	60
7	7	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	61
7	7	3/8	3/8	3/4	1	1	1/16		1/16	1		-1	77	62
7	7	7/16	7/16	3/4	1	1	1/16		1/16	1		4	76	63
7	7	1/2	1/2	3/4	1	1	1/16		1/16	1		-1	77	64
7	7	9/16	9/16	3/4	1	1	1/16		1/16	1		-2	82	65
7	7	5/8	5/8	3/4	1	1	1/16		1/16	1		3	81	66
7	7	11/16	11/16	3/4	1	1	1/16		1/16	1		1	79	67
8	8	0	0	3/4	1	1	1/16		1/16	1		-1	77	68
8	8	1/16	1/16	3/4	1	1	1/16		1/16	1		4	76	69
8	8	1/8	1/8	3/4	1	1	1/16		1/16	1		2	74	70
8	8	3/16	3/16	3/4	1	1	1/16		1/16	1		7	73	71
8	8	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76	72
8	8	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74	73
9	9	0	0	3/4	1	1	1/16		1/16	1		-1	77	74
9	9	1/16	1/16	3/4	1	1	1/16		1/16	1		3	81	75
9	9	1/8	1/8	3/4	1	1	1/16		1/16	1		1	79	76
9	9	3/16	3/16	3/4	1	1	1/16		1/16	1		6	78	77
9	9	1/4	1/4	3/4	1	1	1/8		1/8	1		1	79	78
