mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	1	1	1/4	1/4	1.0		-2	70	0
1	1	1/4	1/4	3/4	1	1	1/16	1/16	1.0		2	74	1
1	1	5/16	5/16	3/4	1	1	1/16	1/16	1.0		0	72	2
1	1	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-2	70	3
1	1	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	69	4
1	1	1/2	1/2	3/4	1	1	1/16	1/16	1.0		-2	70	5
1	1	9/16	9/16	3/4	1	1	1/16	1/16	1.0		0	72	6
1	1	5/8	5/8	3/4	1	1	1/16	1/16	1.0		2	74	7
1	1	11/16	11/16	3/4	1	1	1/16	1/16	1.0		-3	75	8
2	2	0	0	3/4	1	1	1/8	1/8	1.0		-1	77	9
2	2	1/8	1/8	3/4	1	1	1/16	1/16	1.0		1	79	10
2	2	3/16	3/16	3/4	1	1	1/16	1/16	1.0		3	81	11
2	2	1/4	1/4	3/4	1	1	1/8	1/8	1.0		-2	82	12
2	2	3/8	3/8	3/4	1	1	1/8	1/8	1.0		-1	77	13
2	2	1/2	1/2	3/4	1	1	1/8	1/8	1.0		2	74	14
2	2	5/8	5/8	3/4	1	1	1/8	1/8	1.0		-2	70	15
3	3	0	0	3/4	1	1	1/8	1/8	1.0		-3	63	16
3	3	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	79	17
3	3	1/4	1/4	3/4	1	1	1/8	1/8	1.0		2	62	18
3	3	3/8	3/8	3/4	1	1	1/8	1/8	1.0		-1	77	19
3	3	1/2	1/2	3/4	1	1	1/8	1/8	1.0		0	60	20
3	3	5/8	5/8	3/4	1	1	1/8	1/8	1.0		-3	75	21
4	4	0	0	3/4	1	1	1/16	1/16	1.0		2	74	22
4	4	1/16	1/16	3/4	1	1	1/16	1/16	1.0		0	72	23
4	4	1/8	1/8	3/4	1	1	1/16	1/16	1.0		-2	70	24
4	4	3/16	3/16	3/4	1	1	1/16	1/16	1.0		3	69	25
4	4	1/4	1/4	3/4	1	1	1/8	1/8	1.0		-2	70	26
4	4	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-2	70	27
4	4	7/16	7/16	3/4	1	1	1/16	1/16	1.0		2	74	28
4	4	1/2	1/2	3/4	1	1	1/4	1/4	1.0		-1	77	29
5	5	0	0	3/4	1	1	1/16	1/16	1.0		1	79	30
5	5	1/16	1/16	3/4	1	1	1/16	1/16	1.0		2	74	31
5	5	1/8	1/8	3/4	1	1	1/16	1/16	1.0		-2	70	32
5	5	3/16	3/16	3/4	1	1	1/16	1/16	1.0		1	67	33
5	5	1/4	1/4	3/4	1	1	1/16	1/16	1.0		-3	63	34
5	5	5/16	5/16	3/4	1	1	1/16	1/16	1.0		1	67	35
5	5	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-2	70	36
5	5	7/16	7/16	3/4	1	1	1/16	1/16	1.0		-3	75	37
5	5	1/2	1/2	3/4	1	1	1/4	1/4	1.0		1	79	38
6	6	0	0	3/4	1	1	1/16	1/16	1.0		-1	77	39
6	6	1/16	1/16	3/4	1	1	1/16	1/16	1.0		0	72	40
6	6	1/8	1/8	3/4	1	1	1/16	1/16	1.0		3	69	41
6	6	3/16	3/16	3/4	1	1	1/16	1/16	1.0		-1	65	42
6	6	1/4	1/4	3/4	1	1	1/16	1/16	1.0		2	62	43
6	6	5/16	5/16	3/4	1	1	1/16	1/16	1.0		-1	65	44
6	6	3/8	3/8	3/4	1	1	1/16	1/16	1.0		3	69	45
6	6	7/16	7/16	3/4	1	1	1/16	1/16	1.0		0	72	46
6	6	1/2	1/2	3/4	1	1	1/4	1/4	1.0		-1	77	47
