mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	1	1	1/16	1/16	1.0		1	67	0
1	1	1/16	1/16	3/4	1	1	1/16	1/16	1.0		-1	65	1
1	1	1/8	1/8	3/4	1	1	1/16	1/16	1.0		1	67	2
1	1	3/16	3/16	3/4	1	1	1/16	1/16	1.0		3	69	3
1	1	1/4	1/4	3/4	1	1	1/4	1/4	1.0		-2	70	4
1	1	1/2	1/2	3/4	1	1	1/4	1/4	1.0		3	69	5
2	2	0	0	3/4	1	1	1/8	1/8	1.0		1	67	6
2	2	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	79	7
2	2	1/4	1/4	3/4	1	1	1/16	1/16	1.0		-2	82	8
2	2	5/16	5/16	3/4	1	1	1/16	1/16	1.0		3	81	9
2	2	3/8	3/8	3/4	1	1	1/16	1/16	1.0		1	79	10
2	2	7/16	7/16	3/4	1	1	1/16	1/16	1.0		-1	77	11
2	2	1/2	1/2	3/4	1	1	1/8	1/8	1.0		1	79	12
2	2	5/8	5/8	3/4	1	1	1/8	1/8	1.0		2	74	13
3	3	0	0	3/4	1	1	1/16	1/16	1.0		-3	75	14
3	3	1/16	1/16	3/4	1	1	1/16	1/16	1.0		2	74	15
3	3	1/8	1/8	3/4	1	1	1/16	1/16	1.0		0	72	16
3	3	3/16	3/16	3/4	1	1	1/16	1/16	1.0		-2	70	17
3	3	1/4	1/4	3/4	1	1	1/16	1/16	1.0		2	74	18
3	3	5/16	5/16	3/4	1	1	1/16	1/16	1.0		0	72	19
3	3	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-2	70	20
3	3	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	69	21
3	3	1/2	1/2	3/4	1	1	1/16	1/16	1.0		0	72	22
3	3	9/16	9/16	3/4	1	1	1/16	1/16	1.0		-2	70	23
3	3	5/8	5/8	3/4	1	1	1/16	1/16	1.0		3	69	24
3	3	11/16	11/16	3/4	1	1	1/16	1/16	1.0		1	67	25
4	4	0	0	3/4	1	1	1/8	1/8	1.0		-1	65	26
4	4	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	67	27
4	4	1/4	1/4	3/4	1	1	1/8	1/8	1.0		3	69	28
4	4	3/8	3/8	3/4	1	1	1/8	1/8	1.0		2	74	29
4	4	1/2	1/2	3/4	1	1	1/4	1/4	1.0		2	62	30
5	5	0	0	3/4	1	1	1/16	1/16	1.0		1	67	31
5	5	1/16	1/16	3/4	1	1	1/16	1/16	1.0		-1	65	32
5	5	1/8	1/8	3/4	1	1	1/16	1/16	1.0		1	67	33
5	5	3/16	3/16	3/4	1	1	1/16	1/16	1.0		3	69	34
5	5	1/4	1/4	3/4	1	1	1/4	1/4	1.0		-2	70	35
5	5	1/2	1/2	3/4	1	1	1/4	1/4	1.0		3	69	36
6	6	0	0	3/4	1	1	1/8	1/8	1.0		1	67	37
6	6	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	79	38
6	6	1/4	1/4	3/4	1	1	1/16	1/16	1.0		-2	82	39
6	6	5/16	5/16	3/4	1	1	1/16	1/16	1.0		3	81	40
6	6	3/8	3/8	3/4	1	1	1/16	1/16	1.0		1	79	41
6	6	7/16	7/16	3/4	1	1	1/16	1/16	1.0		-1	77	42
6	6	1/2	1/2	3/4	1	1	1/8	1/8	1.0		1	79	43
6	6	5/8	5/8	3/4	1	1	1/8	1/8	1.0		2	74	44
7	7	0	0	3/4	1	1	1/16	1/16	1.0		-3	75	45
7	7	1/16	1/16	3/4	1	1	1/16	1/16	1.0		2	74	46
7	7	1/8	1/8	3/4	1	1	1/16	1/16	1.0		0	72	47
7	7	3/16	3/16	3/4	1	1	1/16	1/16	1.0		-2	70	48
7	7	1/4	1/4	3/4	1	1	1/16	1/16	1.0		2	74	49
7	7	5/16	5/16	3/4	1	1	1/16	1/16	1.0		0	72	50
7	7	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-2	70	51
7	7	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	69	52
7	7	1/2	1/2	3/4	1	1	1/16	1/16	1.0		0	72	53
7	7	9/16	9/16	3/4	1	1	1/16	1/16	1.0		-2	70	54
7	7	5/8	5/8	3/4	1	1	1/16	1/16	1.0		3	69	55
7	7	11/16	11/16	3/4	1	1	1/16	1/16	1.0		1	67	56
8	8	0	0	3/4	1	1	1/16	1/16	1.0		-1	65	57
8	8	1/16	1/16	3/4	1	1	1/16	1/16	1.0		3	69	58
8	8	1/8	1/8	3/4	1	1	1/16	1/16	1.0		2	74	59
8	8	3/16	3/16	3/4	1	1	1/16	1/16	1.0		-1	65	60
8	8	1/4	1/4	3/4	1	1	1/4	1/4	1.0		1	67	61
8	8	1/2	1/2	3/4	1	1	1/4	1/4	1.0		1	55	62
9	9	0	0	3/4	1	1	1/16	1/16	1.0		-2	70	63
9	9	1/16	1/16	3/4	1	1	1/16	1/16	1.0		2	74	64
9	9	1/8	1/8	3/4	1	1	1/16	1/16	1.0		-2	70	65
9	9	3/16	3/16	3/4	1	1	1/16	1/16	1.0		1	67	66
9	9	1/4	1/4	3/4	1	1	1/16	1/16	1.0		-2	70	67
9	9	5/16	5/16	3/4	1	1	1/16	1/16	1.0		2	74	68
9	9	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-2	70	69
9	9	7/16	7/16	3/4	1	1	1/16	1/16	1.0		1	67	70
9	9	1/2	1/2	3/4	1	1	1/16	1/16	1.0		-2	70	71
9	9	9/16	9/16	3/4	1	1	1/16	1/16	1.0		2	74	72
9	9	5/8	5/8	3/4	1	1	1/16	1/16	1.0		-2	70	73
9	9	11/16	11/16	3/4	1	1	1/16	1/16	1.0		1	67	74
10	10	0	0	3/4	1	1	1/8	1/8	1.0		0	72	75
10	10	1/8	1/8	3/4	1	1	1/16	1/16	1.0		0	72	76
10	10	3/16	3/16	3/4	1	1	1/16	1/16	1.0		2	74	77
10	10	1/4	1/4	3/4	1	1	1/8	1/8	1.0		-3	75	78
10	10	3/8	3/8	3/4	1	1	1/8	1/8	1.0		2	74	79
10	10	1/2	1/2	3/4	1	1	1/8	1/8	1.0		0	72	80
10	10	5/8	5/8	3/4	1	1	1/8	1/8	1.0		-2	70	81
11	11	0	0	3/4	1	1	1/16	1/16	1.0		3	69	82
11	11	1/16	1/16	3/4	1	1	1/16	1/16	1.0		0	72	83
11	11	1/8	1/8	3/4	1	1	1/16	1/16	1.0		3	69	84
11	11	3/16	3/16	3/4	1	1	1/16	1/16	1.0		-1	65	85
11	11	1/4	1/4	3/4	1	1	1/16	1/16	1.0		3	69	86
11	11	5/16	5/16	3/4	1	1	1/16	1/16	1.0		0	72	87
11	11	3/8	3/8	3/4	1	1	1/16	1/16	1.0		3	69	88
11	11	7/16	7/16	3/4	1	1	1/16	1/16	1.0		-1	65	89
11	11	1/2	1/2	3/4	1	1	1/16	1/16	1.0		3	69	90
11	11	9/16	9/16	3/4	1	1	1/16	1/16	1.0		0	72	91
11	11	5/8	5/8	3/4	1	1	1/16	1/16	1.0		3	69	92
11	11	11/16	11/16	3/4	1	1	1/16	1/16	1.0		-1	65	93
12	12	0	0	3/4	1	1	1/16	1/16	1.0		-2	70	94
12	12	1/16	1/16	3/4	1	1	1/16	1/16	1.0		3	69	95
12	12	1/8	1/8	3/4	1	1	1/16	1/16	1.0		-2	70	96
12	12	3/16	3/16	3/4	1	1	1/16	1/16	1.0		0	72	97
12	12	1/4	1/4	3/4	1	1	1/8	1/8	1.0		2	74	98
12	12	3/8	3/8	3/4	1	1	1/8	1/8	1.0		-2	70	99
12	12	1/2	1/2	3/4	1	1	1/8	1/8	1.0		3	69	100
12	12	5/8	5/8	3/4	1	1	1/8	1/8	1.0		-1	65	101
13	13	0	0	3/4	1	1	1/16	1/16	1.0		1	67	102
13	13	1/16	1/16	3/4	1	1	1/16	1/16	1.0		-1	65	103
13	13	1/8	1/8	3/4	1	1	1/16	1/16	1.0		1	67	104
13	13	3/16	3/16	3/4	1	1	1/16	1/16	1.0		3	69	105
13	13	1/4	1/4	3/4	1	1	1/4	1/4	1.0		-2	70	106
13	13	1/2	1/2	3/4	1	1	1/4	1/4	1.0		3	69	107
14	14	0	0	3/4	1	1	1/8	1/8	1.0		1	67	108
14	14	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	79	109
14	14	1/4	1/4	3/4	1	1	1/16	1/16	1.0		-2	82	110
14	14	5/16	5/16	3/4	1	1	1/16	1/16	1.0		3	81	111
14	14	3/8	3/8	3/4	1	1	1/16	1/16	1.0		1	79	112
14	14	7/16	7/16	3/4	1	1	1/16	1/16	1.0		-1	77	113
14	14	1/2	1/2	3/4	1	1	1/8	1/8	1.0		1	79	114
14	14	5/8	5/8	3/4	1	1	1/8	1/8	1.0		2	74	115
15	15	0	0	3/4	1	1	1/16	1/16	1.0		-3	75	116
15	15	1/16	1/16	3/4	1	1	1/16	1/16	1.0		2	74	117
15	15	1/8	1/8	3/4	1	1	1/16	1/16	1.0		0	72	118
15	15	3/16	3/16	3/4	1	1	1/16	1/16	1.0		-2	70	119
15	15	1/4	1/4	3/4	1	1	1/16	1/16	1.0		2	74	120
15	15	5/16	5/16	3/4	1	1	1/16	1/16	1.0		0	72	121
15	15	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-2	70	122
15	15	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	69	123
15	15	1/2	1/2	3/4	1	1	1/16	1/16	1.0		0	72	124
15	15	9/16	9/16	3/4	1	1	1/16	1/16	1.0		-2	70	125
15	15	5/8	5/8	3/4	1	1	1/16	1/16	1.0		3	69	126
15	15	11/16	11/16	3/4	1	1	1/16	1/16	1.0		1	67	127
16	16	0	0	3/4	1	1	1/16	1/16	1.0		-1	65	128
16	16	1/16	1/16	3/4	1	1	1/16	1/16	1.0		3	69	129
16	16	1/8	1/8	3/4	1	1	1/16	1/16	1.0		2	74	130
16	16	3/16	3/16	3/4	1	1	1/16	1/16	1.0		-1	65	131
16	16	1/4	1/4	3/4	1	1	1/4	1/4	1.0		1	67	132
16	16	1/2	1/2	3/4	1	1	1/4	1/4	1.0		1	55	133
