mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	1	1	1/4	1/4	1.0		0	72	0
1	1	1/4	1/4	3/4	1	1	1/8	1/8	1.0		4	64	1
1	1	3/8	3/8	3/4	1	1	1/8	1/8	1.0		4	64	2
1	1	1/2	1/2	3/4	1	1	1/8	1/8	1.0		4	64	3
1	1	5/8	5/8	3/4	1	1	1/8	1/8	1.0		4	64	4
2	2	0	0	3/4	1	1	1/8	1/8	1.0		4	64	5
2	2	1/8	1/8	3/4	1	1	1/8	1/8	1.0		0	72	6
2	2	1/4	1/4	3/4	1	1	1/8	1/8	1.0		0	72	7
2	2	3/8	3/8	3/4	1	1	1/16	1/16	1.0		5	71	8
2	2	7/16	7/16	3/4	1	1	1/16	1/16	1.0		0	72	9
2	2	1/2	1/2	3/4	1	1	1/8	1/8	1.0		3	69	10
2	2	5/8	5/8	3/4	1	1	1/8	1/8	1.0		3	69	11
3	3	0	0	3/4	1	1	1/8	1/8	1.0		3	69	12
3	3	1/8	1/8	3/4	1	1	1/16	1/16	1.0		2	74	13
3	3	3/16	3/16	3/4	1	1	1/16	1/16	1.0		4	76	14
3	3	1/4	1/4	3/4	1	1	1/8	1/8	1.0		-1	77	15
3	3	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-1	77	16
3	3	7/16	7/16	3/4	1	1	1/16	1/16	1.0		2	74	17
3	3	1/2	1/2	3/4	1	1	1/8	1/8	1.0		4	76	18
3	3	5/8	5/8	3/4	1	1	1/16	1/16	1.0		4	76	19
3	3	11/16	11/16	3/4	1	1	1/16	1/16	1.0		0	72	20
4	4	0	0	3/4	1	1	1/8	1/8	1.0		2	74	21
4	4	1/8	1/8	3/4	1	1	1/8	1/8	1.0		2	74	22
4	4	1/4	1/4	3/4	1	1	1/16	1/16	1.0		0	72	23
4	4	5/16	5/16	3/4	1	1	1/16	1/16	1.0		5	71	24
4	4	3/8	3/8	3/4	1	1	1/16	1/16	1.0		0	72	25
4	4	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	69	26
4	4	1/2	1/2	3/4	1	1	1/8	1/8	1.0		1	67	27
4	4	5/8	5/8	3/4	1	1	1/16	1/16	1.0		3	69	28
4	4	11/16	11/16	3/4	1	1	1/16	1/16	1.0		5	71	29
5	5	0	0	3/4	1	1	1/4	1/4	1.0		0	72	30
5	5	1/4	1/4	3/4	1	1	1/8	1/8	1.0		4	64	31
5	5	3/8	3/8	3/4	1	1	1/8	1/8	1.0		4	64	32
5	5	1/2	1/2	3/4	1	1	1/8	1/8	1.0		4	64	33
5	5	5/8	5/8	3/4	1	1	1/8	1/8	1.0		4	64	34
6	6	0	0	3/4	1	1	1/8	1/8	1.0		4	64	35
6	6	1/8	1/8	3/4	1	1	1/8	1/8	1.0		0	72	36
6	6	1/4	1/4	3/4	1	1	1/8	1/8	1.0		0	72	37
6	6	3/8	3/8	3/4	1	1	1/16	1/16	1.0		5	71	38
6	6	7/16	7/16	3/4	1	1	1/16	1/16	1.0		0	72	39
6	6	1/2	1/2	3/4	1	1	1/8	1/8	1.0		3	69	40
6	6	5/8	5/8	3/4	1	1	1/8	1/8	1.0		3	69	41
7	7	0	0	3/4	1	1	1/8	1/8	1.0		3	69	42
7	7	1/8	1/8	3/4	1	1	1/16	1/16	1.0		2	74	43
7	7	3/16	3/16	3/4	1	1	1/16	1/16	1.0		4	76	44
7	7	1/4	1/4	3/4	1	1	1/8	1/8	1.0		-1	77	45
7	7	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-1	77	46
7	7	7/16	7/16	3/4	1	1	1/16	1/16	1.0		2	74	47
7	7	1/2	1/2	3/4	1	1	1/8	1/8	1.0		4	76	48
7	7	5/8	5/8	3/4	1	1	1/16	1/16	1.0		4	76	49
7	7	11/16	11/16	3/4	1	1	1/16	1/16	1.0		0	72	50
8	8	0	0	3/4	1	1	1/8	1/8	1.0		2	74	51
8	8	1/8	1/8	3/4	1	1	1/16	1/16	1.0		2	74	52
8	8	3/16	3/16	3/4	1	1	1/16	1/16	1.0		5	71	53
8	8	1/4	1/4	3/4	1	1	1/2	1/2	1.0		0	72	54
9	9	0	0	3/4	1	1	1/8	1/8	1.0		1	67	55
9	9	1/8	1/8	3/4	1	1	1/16	1/16	1.0		0	72	56
9	9	3/16	3/16	3/4	1	1	1/16	1/16	1.0		4	76	57
9	9	1/4	1/4	3/4	1	1	1/8	1/8	1.0		1	79	58
9	9	3/8	3/8	3/4	1	1	1/16	1/16	1.0		4	76	59
9	9	7/16	7/16	3/4	1	1	1/16	1/16	1.0		0	72	60
9	9	1/2	1/2	3/4	1	1	1/8	1/8	1.0		1	67	61
9	9	5/8	5/8	3/4	1	1	1/16	1/16	1.0		0	72	62
9	9	11/16	11/16	3/4	1	1	1/16	1/16	1.0		4	76	63
10	10	0	0	3/4	1	1	1/8	1/8	1.0		1	79	64
10	10	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	79	65
10	10	1/4	1/4	3/4	1	1	1/16	1/16	1.0		-1	77	66
10	10	5/16	5/16	3/4	1	1	1/16	1/16	1.0		4	76	67
10	10	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-1	77	68
10	10	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	81	69
10	10	1/2	1/2	3/4	1	1	1/4	1/4	1.0		-1	77	70
11	11	0	0	3/4	1	1	1/8	1/8	1.0		1	67	71
11	11	1/8	1/8	3/4	1	1	1/16	1/16	1.0		5	71	72
11	11	3/16	3/16	3/4	1	1	1/16	1/16	1.0		2	74	73
11	11	1/4	1/4	3/4	1	1	1/8	1/8	1.0		-1	77	74
11	11	3/8	3/8	3/4	1	1	1/16	1/16	1.0		2	74	75
11	11	7/16	7/16	3/4	1	1	1/16	1/16	1.0		5	71	76
11	11	1/2	1/2	3/4	1	1	1/8	1/8	1.0		1	67	77
11	11	5/8	5/8	3/4	1	1	1/16	1/16	1.0		5	71	78
11	11	11/16	11/16	3/4	1	1	1/16	1/16	1.0		2	74	79
12	12	0	0	3/4	1	1	1/8	1/8	1.0		-1	77	80
12	12	1/8	1/8	3/4	1	1	1/8	1/8	1.0		-1	77	81
12	12	1/4	1/4	3/4	1	1	1/16	1/16	1.0		4	76	82
12	12	5/16	5/16	3/4	1	1	1/16	1/16	1.0		2	74	83
12	12	3/8	3/8	3/4	1	1	1/16	1/16	1.0		4	76	84
12	12	7/16	7/16	3/4	1	1	1/16	1/16	1.0		-1	77	85
12	12	1/2	1/2	3/4	1	1	1/4	1/4	1.0		4	76	86
13	13	0	0	3/4	1	1	1/8	1/8	1.0		1	67	87
13	13	1/8	1/8	3/4	1	1	1/16	1/16	1.0		0	72	88
13	13	3/16	3/16	3/4	1	1	1/16	1/16	1.0		4	76	89
13	13	1/4	1/4	3/4	1	1	1/8	1/8	1.0		1	79	90
13	13	3/8	3/8	3/4	1	1	1/16	1/16	1.0		4	76	91
13	13	7/16	7/16	3/4	1	1	1/16	1/16	1.0		0	72	92
13	13	1/2	1/2	3/4	1	1	1/8	1/8	1.0		1	67	93
13	13	5/8	5/8	3/4	1	1	1/16	1/16	1.0		0	72	94
13	13	11/16	11/16	3/4	1	1	1/16	1/16	1.0		4	76	95
14	14	0	0	3/4	1	1	1/8	1/8	1.0		1	79	96
14	14	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	79	97
14	14	1/4	1/4	3/4	1	1	1/16	1/16	1.0		-1	77	98
14	14	5/16	5/16	3/4	1	1	1/16	1/16	1.0		4	76	99
14	14	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-1	77	100
14	14	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	81	101
14	14	1/2	1/2	3/4	1	1	1/4	1/4	1.0		-1	77	102
15	15	0	0	3/4	1	1	1/8	1/8	1.0		1	67	103
15	15	1/8	1/8	3/4	1	1	1/16	1/16	1.0		5	71	104
15	15	3/16	3/16	3/4	1	1	1/16	1/16	1.0		2	74	105
15	15	1/4	1/4	3/4	1	1	1/8	1/8	1.0		-1	77	106
15	15	3/8	3/8	3/4	1	1	1/16	1/16	1.0		2	74	107
15	15	7/16	7/16	3/4	1	1	1/16	1/16	1.0		5	71	108
15	15	1/2	1/2	3/4	1	1	1/8	1/8	1.0		1	67	109
15	15	5/8	5/8	3/4	1	1	1/16	1/16	1.0		5	71	110
15	15	11/16	11/16	3/4	1	1	1/16	1/16	1.0		2	74	111
16	16	0	0	3/4	1	1	1/8	1/8	1.0		-1	77	112
16	16	1/8	1/8	3/4	1	1	1/8	1/8	1.0		-1	77	113
16	16	1/4	1/4	3/4	1	1	1/16	1/16	1.0		4	76	114
16	16	5/16	5/16	3/4	1	1	1/16	1/16	1.0		2	74	115
16	16	3/8	3/8	3/4	1	1	1/16	1/16	1.0		4	76	116
16	16	7/16	7/16	3/4	1	1	1/16	1/16	1.0		-1	77	117
16	16	1/2	1/2	3/4	1	1	1/4	1/4	1.0		4	76	118
17	17	0	0	3/4	1	1	1/4	1/4	1.0		0	72	119
17	17	1/4	1/4	3/4	1	1	1/8	1/8	1.0		4	64	120
17	17	3/8	3/8	3/4	1	1	1/8	1/8	1.0		4	64	121
17	17	1/2	1/2	3/4	1	1	1/8	1/8	1.0		4	64	122
17	17	5/8	5/8	3/4	1	1	1/8	1/8	1.0		4	64	123
18	18	0	0	3/4	1	1	1/8	1/8	1.0		4	64	124
18	18	1/8	1/8	3/4	1	1	1/8	1/8	1.0		0	72	125
18	18	1/4	1/4	3/4	1	1	1/8	1/8	1.0		0	72	126
18	18	3/8	3/8	3/4	1	1	1/16	1/16	1.0		5	71	127
18	18	7/16	7/16	3/4	1	1	1/16	1/16	1.0		0	72	128
18	18	1/2	1/2	3/4	1	1	1/8	1/8	1.0		3	69	129
18	18	5/8	5/8	3/4	1	1	1/8	1/8	1.0		3	69	130
19	19	0	0	3/4	1	1	1/8	1/8	1.0		3	69	131
19	19	1/8	1/8	3/4	1	1	1/16	1/16	1.0		2	74	132
19	19	3/16	3/16	3/4	1	1	1/16	1/16	1.0		4	76	133
19	19	1/4	1/4	3/4	1	1	1/8	1/8	1.0		-1	77	134
19	19	3/8	3/8	3/4	1	1	1/16	1/16	1.0		-1	77	135
19	19	7/16	7/16	3/4	1	1	1/16	1/16	1.0		2	74	136
19	19	1/2	1/2	3/4	1	1	1/8	1/8	1.0		4	76	137
19	19	5/8	5/8	3/4	1	1	1/16	1/16	1.0		4	76	138
19	19	11/16	11/16	3/4	1	1	1/16	1/16	1.0		0	72	139
20	20	0	0	3/4	1	1	1/8	1/8	1.0		2	74	140
20	20	1/8	1/8	3/4	1	1	1/16	1/16	1.0		2	74	141
20	20	3/16	3/16	3/4	1	1	1/16	1/16	1.0		5	71	142
20	20	1/4	1/4	3/4	1	1	1/2	1/2	1.0		0	72	143
