mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	1	1	1/8	1/8	1		3	69	0
1	1	1/8	1/8	3/4	1	1	1/16	1/16	1		3	69	1
1	1	3/16	3/16	3/4	1	1	1/16	1/16	1		8	68	2
1	1	1/4	1/4	3/4	1	1	1/8	1/8	1		3	69	3
1	1	3/8	3/8	3/4	1	1	1/8	1/8	1		7	73	4
1	1	1/2	1/2	3/4	1	1	1/8	1/8	1		5	71	5
1	1	5/8	5/8	3/4	1	1	1/8	1/8	1		3	69	6
2	2	0	0	3/4	1	1	1/16	1/16	1		3	69	7
2	2	1/16	1/16	3/4	1	1	1/16	1/16	1		5	71	8
2	2	1/8	1/8	3/4	1	1	1/16	1/16	1		7	73	9
2	2	3/16	3/16	3/4	1	1	1/16	1/16	1		2	74	10
2	2	1/4	1/4	3/4	1	1	1/8	1/8	1		4	76	11
2	2	3/8	3/8	3/4	1	1	1/16	1/16	1		4	76	12
2	2	7/16	7/16	3/4	1	1	1/16	1/16	1		6	78	13
2	2	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76	14
2	2	5/8	5/8	3/4	1	1	1/8	1/8	1		7	73	15
3	3	0	0	3/4	1	1	1/8	1/8	1		3	69	16
3	3	1/8	1/8	3/4	1	1	1/16	1/16	1		3	69	17
3	3	3/16	3/16	3/4	1	1	1/16	1/16	1		8	68	18
3	3	1/4	1/4	3/4	1	1	1/8	1/8	1		3	69	19
3	3	3/8	3/8	3/4	1	1	1/8	1/8	1		7	73	20
3	3	1/2	1/2	3/4	1	1	1/8	1/8	1		5	71	21
3	3	5/8	5/8	3/4	1	1	1/8	1/8	1		3	69	22
4	4	0	0	3/4	1	1	1/16	1/16	1		3	69	23
4	4	1/16	1/16	3/4	1	1	1/16	1/16	1		5	71	24
4	4	1/8	1/8	3/4	1	1	1/16	1/16	1		7	73	25
4	4	3/16	3/16	3/4	1	1	1/16	1/16	1		2	74	26
4	4	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76	27
4	4	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76	28
5	5	0	0	3/4	1	1	1/8	1/8	1		3	69	29
5	5	1/8	1/8	3/4	1	1	1/16	1/16	1		3	69	30
5	5	3/16	3/16	3/4	1	1	1/16	1/16	1		8	68	31
5	5	1/4	1/4	3/4	1	1	1/8	1/8	1		3	69	32
5	5	3/8	3/8	3/4	1	1	1/8	1/8	1		7	73	33
5	5	1/2	1/2	3/4	1	1	1/8	1/8	1		5	71	34
5	5	5/8	5/8	3/4	1	1	1/8	1/8	1		3	69	35
6	6	0	0	3/4	1	1	3/16	1/8	3/2		4	64	36
6	6	3/16	3/16	3/4	1	1	1/16	1/16	1		6	66	37
6	6	1/4	1/4	3/4	1	1	3/16	1/8	3/2		2	62	38
6	6	7/16	7/16	3/4	1	1	1/16	1/16	1		6	66	39
6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64	40
7	7	0	0	3/4	1	1	1/16	1/16	1		7	73	41
7	7	1/16	1/16	3/4	1	1	1/16	1/16	1		5	71	42
7	7	1/8	1/8	3/4	1	1	1/16	1/16	1		3	69	43
7	7	3/16	3/16	3/4	1	1	1/16	1/16	1		8	68	44
7	7	1/4	1/4	3/4	1	1	1/16	1/16	1		3	69	45
7	7	5/16	5/16	3/4	1	1	1/16	1/16	1		5	71	46
7	7	3/8	3/8	3/4	1	1	1/16	1/16	1		7	73	47
7	7	7/16	7/16	3/4	1	1	1/16	1/16	1		2	74	48
7	7	1/2	1/2	3/4	1	1	1/16	1/16	1		4	76	49
7	7	9/16	9/16	3/4	1	1	1/16	1/16	1		6	78	50
7	7	5/8	5/8	3/4	1	1	1/16	1/16	1		2	74	51
7	7	11/16	11/16	3/4	1	1	1/16	1/16	1		4	76	52
8	8	0	0	3/4	1	1	1/16	1/16	1		7	73	53
8	8	1/16	1/16	3/4	1	1	1/16	1/16	1		5	71	54
8	8	1/8	1/8	3/4	1	1	1/16	1/16	1		3	69	55
8	8	3/16	3/16	3/4	1	1	1/16	1/16	1		8	68	56
8	8	1/4	1/4	3/4	1	1	1/8	1/8	1		8	68	57
8	8	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	58
8	8	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	59
